번호,교과구분,개설대학,강좌번호,강의시간,1,2,1T,2T,수강정원,수강신청인원
1,교양,경북대학교(총괄),CLTR0090-001,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,70,27
2,교양,경북대학교(총괄),CLTR0090-002,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,70,65
3,교양,경북대학교(총괄),CLTR0752-001,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,70,61
4,교양,인문대학,CLTR0210-028,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,30,25
5,교양,인문대학,CLTR0001-001,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,70,19
6,,,CLTR0044-003,수 1A1B2A금 2B3A3B,수,금,10:30,9:00,70,48
7,교양,인문대학,CLTR0053-001,월 2B3A3B금 1A1B2A,월,금,9:00,10:30,70,51
8,교양,인문대학,CLTR0053-002,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,70,56
9,,,KORL0443-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,70,58
10,교양,인문대학,KORL0449-001,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,40,19
11,,,KORL0500-001,수 1A1B2A금 2B3A3B,수,금,10:30,9:00,70,9
12,전공,인문대학,KORL0522-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,70,21
13,전공,인문대학,KORL0598-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,40,26
14,전공,인문대학,CLTR0021-002,수 1A1B2A금 2B3A3B,수,금,10:30,9:00,70,77
15,전공,인문대학,CLTR0034-002,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,70,68
16,전공,인문대학,CLTR0101-001,월 2B3A3B금 1A1B2A,월,금,9:00,10:30,70,82
17,교양,인문대학,ENGL0245-001,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,70,75
18,,,ENGL0261-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,70,39
