2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,38,0,0,0,0,0,0,0,0,62
0,0,0,0,0,0,0,0,93,0,43,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,109,0,26,59
0,0,12,0,0,0,0,0,144,0,0,155
0,0,0,0,0,48,0,0,82,0,25,214
0,0,56,0,0,0,0,0,56,0,0,385
0,270,0,0,0,0,0,0,225,0,0,349
0,986,12,0,0,0,0,0,23,0,0,413
0,1514,440,0,0,0,0,0,110,0,74,256
0,2068,0,0,0,0,63,0,232,63,0,141
0,1782,0,0,0,0,20,0,959,0,130,54
68,4892,42,448,0,0,44,13,1525,0,136,182
124,1524,190,82,0,0,93,76,704,0,20,610
292,6082,680,0,0,0,64,19,972,0,31,610
94,10168,406,0,0,0,287,0,0,0,0,2418
466,5164,1208,0,0,28,1287,0,47,0,0,483
296,1596,716,122,0,28,198,115,226,359,38,283
11080,2200,16598,500,0,0,651,953,610,798,146,613
24838,1802,0,204,38,120,998,8557,14350,520,233,0
2894,4428,16392,18,160,0,423,4802,1727,867,3690,275
9260,2942,0,16,0,0,72,8824,950,61,200,1865
1642,940,8010,0,0,142,528,24742,4310,1367,0,45
248,2020,0,78,0,548,229,181,313,5385,780,22421
66,1552,1370,422,328,140,55,135,143,105,261,245
0,1394,0,1320,290,366,455,1862,359,2579,203,250
76,930,4648,1022,94,64,475,290,984,6280,84,980
0,826,0,1094,748,502,685,2230,96,265,86,1098
0,1468,2366,1190,712,28,371,913,30,110,419,1555
116,1596,0,1486,588,486,199,886,57,133,143,1342
226,694,3248,2008,110,374,293,2153,156,95,2356,617
0,544,1010,5234,714,532,191,320,26,145,9586,746
0,0,1620,2694,4522,288,234,735,0,22,1266,753
0,0,324,1668,2198,1008,106,580,50,26,346,258
0,0,94,714,2678,2294,30,1485,75,60,235,312
0,0,0,962,3638,942,143,871,0,86,271,497
0,0,44,1730,1992,676,19,86,17,0,45,90
0,0,12,658,1646,726,143,326,0,43,131,669
0,0,72,864,286,732,0,540,0,61,956,260
0,76,0,852,682,1358,71,275,44,122,801,0
180,1700,0,420,266,410,0,315,0,0,523,0
1140,2194,0,452,240,212,0,349,58,0,195,0
4222,3724,0,66,266,332,0,45,78,0,137,0
11868,3494,0,44,376,374,0,190,0,34,221,266
5694,3334,0,0,794,308,0,0,0,0,40,68
212,2274,0,242,0,58,0,32,0,0,0,0
0,86,64,24,64,250,241,0,0,0,26,19
0,846,0,0,246,176,215,0,0,0,0,0
0,440,0,0,0,406,0,43,0,0,0,58
114,4206,0,0,0,48,18,157,144,0,83,0
356,794,0,0,28,0,42,0,233,0,59,21
1996,1498,186,0,0,0,0,0,196,0,0,310
34760,1290,136,0,0,0,0,0,756,0,337,158
9600,1784,318,0,0,0,0,0,450,0,308,78
1410,4284,602,0,0,68,0,0,485,0,194,215
7332,3720,954,0,0,56,0,0,96,0,257,1221
4582,3906,884,0,0,0,64,0,159,0,519,969
170,964,440,0,0,0,87,0,123,0,425,153
0,354,938,0,0,158,74,43,80,0,144,55
0,724,1926,0,0,0,45,0,1745,0,10,71
0,86,9244,32,48,0,43,0,3594,0,0,83
0,410,27380,0,0,14,63,0,16424,0,0,262
0,258,49008,104,0,0,0,0,27801,15,12,559
0,970,41614,194,18,0,126,0,34475,106,172,278
0,682,3792,182,14,18,2150,0,27,226,233,2765
0,552,22766,192,134,0,17980,0,49,4275,61,649
0,408,12058,164,238,184,8497,0,337,9145,683,25454
0,300,18616,50,158,22,24980,0,1120,19643,1571,54753
0,0,10262,244,564,540,22825,0,15220,9253,1438,1429
0,1100,1932,208,422,16,16884,59,1445,22031,4149,86
0,600,5552,156,220,0,13283,2069,100941,17047,59228,60
200,100,7736,0,1154,0,4610,30965,54748,28215,14298,7609
0,0,6374,68,908,656,836,9666,120999,1511,42781,25563
0,0,2616,886,80,644,564,31811,59489,15144,34,2020
200,0,2088,182,314,78,695,50226,66522,9715,507,32453
400,0,1014,1752,1790,292,4370,20788,84906,4276,359,3345
300,3000,820,25060,930,260,8174,12550,41360,13491,262,161
200,3200,180,2062,1494,1406,7906,8312,58076,42157,234,911
500,800,266,11942,7514,1044,36250,12657,1289,19105,1330,1097
400,100,124,9666,746,914,73809,12683,293,46614,1981,2615
200,0,44,1388,508,1020,134670,10649,232,33758,445,648
200,3500,58,5164,634,336,67717,32530,449,18643,6282,2803
300,500,18,1564,394,922,20098,2082,147,33476,1722,1801
300,2600,0,870,802,1702,2349,1666,1392,10718,631,889
100,2000,12,1814,1766,814,719,1103,171,13391,777,3225
100,4100,0,1704,1730,600,1181,6722,43,4284,2085,1017
500,4200,18,644,844,990,501,2069,327,13514,8740,667
400,400,0,618,634,1770,371,3037,125,10214,858,342
100,800,0,234,292,788,819,3935,198,13197,1742,674
100,100,0,286,98,886,521,4700,81,216,1029,672
300,200,0,444,122,2346,154,9910,0,224,1387,195
400,2200,0,0,0,2456,115,12087,167,382,375,133
100,1100,0,76,244,2136,9,9067,0,30,200,22
0,500,0,94,172,1474,88,8121,33,16,1551,0
200,0,0,0,294,1606,40,17679,150,210,989,0
0,0,0,46,184,1078,0,17041,0,48,605,0
0,0,0,16,78,1052,1532,32599,0,286,9381,0
0,0,0,0,214,728,1778,27675,0,185,769,0
400,0,0,0,106,242,589,20755,0,28,0,0
0,0,100,0,0,448,623,30515,0,617,0,0
0,0,100,0,0,368,277,22934,0,155,0,0
0,0,900,0,0,0,0,11023,0,138,0,0
0,0,400,0,0,0,0,14175,0,0,0,0
0,0,0,0,0,0,0,15592,0,148,0,0
0,0,0,0,0,0,0,6081,0,0,0,0
0,0,0,0,0,0,0,8798,0,0,0,0
0,0,0,0,0,0,0,334,0,0,0,0
2290,0,600,0,0,0,0,214,0,0,0,0
0,60,700,0,0,0,0,102,0,0,0,0
630,0,200,0,0,0,0,61,0,0,0,0
3130,0,0,0,0,0,0,0,0,0,0,0
2320,0,0,0,0,0,0,0,0,0,0,0
450,0,0,0,0,0,0,0,0,0,0,0
0,450,160,0,0,0,0,0,0,0,0,36
0,0,240,0,0,0,0,0,0,0,0,0
1440,0,6160,0,0,0,0,0,86,0,0,43
1590,0,380,0,0,0,0,0,83,0,0,809
4700,50,0,0,980,0,0,0,0,0,0,243
11840,320,0,0,0,0,0,0,0,0,0,954
10980,530,0,0,0,0,0,0,371,0,0,908
17740,500,0,0,0,110,0,0,623,0,0,344
2800,800,0,0,0,0,0,0,0,0,0,430
0,960,0,0,260,0,0,0,0,0,0,888
1460,2400,0,0,280,140,0,0,0,0,53,535
780,2600,0,915,450,410,0,0,0,0,0,65
0,3920,0,260,215,0,0,0,0,0,0,140
320,850,0,360,335,0,0,0,0,0,0,0
0,150,0,0,2631,0,0,0,0,226,0,0
0,0,0,220,160,0,0,0,0,0,321,0
0,300,0,400,385,0,0,0,0,0,0,0
720,0,0,200,0,0,0,0,0,56,0,0
160,0,0,1280,0,330,0,0,0,286,0,0
180,70,0,4340,0,0,240,0,0,144,0,0
0,0,0,640,0,0,405,845,0,388,0,0
0,0,260,240,0,0,677,493,0,0,0,0
0,0,50,0,0,0,149,898,0,0,0,0
0,0,140,1160,0,0,168,64,0,121,0,0
0,0,0,160,0,0,577,0,0,381,0,0
0,0,0,0,0,0,0,0,0,580,0,0
0,0,0,0,0,0,0,0,0,310,0,0
0,0,0,0,0,0,0,0,0,880,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,275,0,0,0,0,0,0,0,0,0
12,0,1775,0,0,0,0,0,0,0,0,0
0,95,1900,0,0,0,0,0,0,0,0,0
58,235,200,0,0,0,0,0,0,0,0,0
192,406,675,0,0,0,0,0,0,0,0,0
495,651,300,0,0,0,0,0,0,0,0,0
24,253,225,0,0,0,0,0,0,0,0,0
253,1379,700,0,0,0,0,0,0,0,0,0
168,2954,375,0,0,0,0,0,0,0,0,0
486,655,175,0,0,0,0,0,0,0,0,0
398,270,0,0,0,0,0,0,0,0,0,0
330,7440,75,0,0,0,0,0,0,0,0,0
283,462,300,0,0,0,0,0,0,0,0,0
1269,110,35,0,0,0,0,0,0,0,0,0
0,61,0,0,0,0,0,0,0,0,0,0
150,900,0,0,0,0,0,0,47,0,0,0
180,3173,125,0,0,0,0,0,91,0,0,0
300,370,0,0,0,0,0,0,90,0,0,0
214,0,225,0,0,0,0,0,0,0,0,0
150,250,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,200,0,0,0,550,0,0,0,0,0,0
0,290,0,0,0,375,0,0,0,0,0,0
0,0,0,0,0,150,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,0,0,0
0,0,0,0,150,0,0,0,0,0,0,0
0,0,0,0,925,0,0,0,0,0,0,0
0,0,0,0,375,0,0,0,0,0,0,0
0,0,0,0,850,550,0,0,0,0,0,0
0,0,0,0,1275,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,60,0,0,750,0,0,0,0,0,0,0
80,0,441,275,900,0,0,0,0,0,0,0
0,0,0,0,250,0,0,0,0,280,0,0
24,42,357,150,0,275,0,0,0,810,0,0
0,384,48,175,0,425,0,0,0,128,0,0
0,757,0,0,0,650,0,0,0,0,0,0
330,268,0,100,525,750,0,0,0,0,0,0
177,222,170,0,0,0,0,0,0,30,0,0
0,528,156,175,0,0,0,0,0,0,0,0
99,1164,330,0,0,650,0,0,0,0,0,0
543,375,165,0,0,0,0,0,0,0,0,0
421,530,720,225,0,0,0,0,0,0,0,0
244,7038,0,0,0,0,0,0,0,0,782,0
454,102,0,0,0,125,0,0,0,0,406,0
798,96,0,0,0,0,0,0,0,0,770,0
1840,16,192,0,0,0,0,0,68,0,508,0
0,728,0,0,0,0,0,0,164,0,334,0
0,2618,0,0,0,0,0,0,0,0,332,0
280,850,0,0,0,0,0,0,96,0,48,0
170,150,0,0,0,0,0,0,76,0,68,0
374,0,0,0,0,0,0,0,0,0,0,0
150,300,0,0,0,0,0,0,840,0,0,0
104,0,0,0,0,0,108,0,832,0,0,0
0,285,0,0,0,0,134,120,866,0,0,0
0,70,0,0,0,0,26,0,840,0,0,0
0,0,0,0,0,0,0,0,5874,0,0,144
0,0,0,0,0,0,0,0,8036,0,0,0
0,0,0,0,0,0,0,36,2076,0,0,214
0,0,0,0,0,0,0,130,7836,44,0,28
0,0,0,0,0,0,0,0,7060,0,0,0
0,0,0,0,0,0,0,22,844,0,0,52
0,0,0,0,0,0,0,0,4848,0,0,466
0,0,0,0,0,0,0,0,4140,0,0,494
0,0,0,0,0,0,0,0,2640,0,0,3714
0,0,0,0,0,0,0,34,640,0,0,7866
100,0,0,0,0,0,0,0,1886,0,0,3040
100,0,0,0,0,0,0,0,880,0,0,1980
70,95,0,0,0,0,0,0,734,0,0,3568
240,235,0,0,0,0,0,0,828,0,0,3044
0,406,0,0,0,0,0,48,444,38,198,7144
800,651,0,0,0,0,0,0,684,0,420,1446
0,253,0,0,0,0,0,0,74,0,814,2056
0,1379,126,0,0,0,0,0,86,616,580,2914
2180,2954,0,0,0,0,0,0,74,0,2392,644
0,655,0,0,0,0,0,980,32,0,5068,938
0,721,0,0,290,0,0,1960,14,0,9870,360
0,0,347,0,102,0,0,2660,0,0,8706,240
140,462,130,0,0,0,0,5224,240,98,15276,130
0,110,850,0,0,495,0,9540,0,0,7796,36
160,61,315,0,0,0,0,918,0,82,9038,314
2990,0,0,0,0,0,180,4724,0,124,21174,300
1400,3173,0,0,0,0,8170,1242,0,1566,17258,132
425,1050,130,0,0,0,7724,1444,0,734,22976,36
947,0,0,0,0,1062,5282,1618,0,3610,31780,28
1345,156,0,0,0,3320,8630,506,0,2154,6604,84
485,226,0,0,0,1800,6466,604,0,578,3966,0
410,0,0,0,0,141,2542,392,0,510,2884,0
135,0,0,299,0,616,8496,1768,0,980,680,0
60,0,0,129,0,958,8540,660,0,530,272,0
50,290,225,0,0,0,5638,496,0,486,80,0
35,585,0,0,0,130,8418,434,0,760,56,0
160,0,0,0,0,0,3862,488,0,954,0,0
90,0,0,0,0,53,3898,34,0,338,0,0
80,0,0,118,0,119,3448,0,0,368,0,0
0,0,0,155,0,0,860,0,998,342,0,0
0,0,0,0,0,0,180,0,284,398,0,0
0,0,0,120,0,125,0,0,772,134,0,0
0,170,0,0,0,0,0,32,602,406,160,0
0,1650,0,787,0,0,0,28,0,696,88,0
0,125,0,23,0,0,0,178,398,656,338,0
0,2050,0,0,0,0,0,34,208,524,122,0
0,840,0,0,0,0,0,98,322,832,244,0
0,0,0,0,0,0,38,492,940,62,258,0
35,0,0,16,0,0,0,176,740,302,224,0
300,70,0,0,0,0,176,142,4600,64,92,0
385,425,0,0,0,0,42,130,6190,82,32,648
605,50,0,0,0,0,84,36,8322,144,0,132
240,110,0,0,0,0,0,248,4896,44,0,434
380,170,63,0,0,0,142,256,47190,26,0,578
320,2025,8,0,0,0,0,68,35568,94,0,640
540,2210,53,0,0,0,0,172,22230,0,0,820
750,1745,156,0,0,0,0,32,3212,0,0,196
815,780,665,0,13,0,0,0,8956,68,0,0
1850,100,535,0,20,0,0,0,6788,0,0,120
4475,475,384,0,0,0,0,0,658,0,0,380
6290,330,422,0,0,0,0,0,2506,0,0,0
2855,0,167,0,0,0,0,0,394,0,0,756
6545,60,384,0,0,0,0,0,182,0,0,784
675,160,34,0,0,0,0,0,402,0,0,704
205,175,366,0,0,0,0,0,278,0,70,772
175,350,144,0,0,0,0,0,278,0,366,1940
410,0,221,0,0,0,0,0,512,0,348,590
655,0,82,0,0,0,38,0,52,0,206,800
225,0,106,0,0,0,0,0,170,508,460,328
0,0,175,0,40,0,12,964,214,0,72,144
0,0,31,0,0,0,0,4402,676,56,438,204
0,0,49,0,323,0,260,4594,34,18,976,520
0,0,32,15,119,0,442,38964,0,0,3134,460
0,0,30,0,0,0,90,20724,0,160,8934,462
0,0,44,0,0,0,264,18724,0,74,0,0
0,0,14,0,0,0,582,85734,0,0,4004,92
51,0,0,0,0,121,272,63944,0,850,1510,108
0,0,0,0,0,0,338,206126,0,784,5238,144
22,0,0,0,0,0,3146,77554,0,0,2534,52
40,0,0,90,0,46,5588,31940,0,744,7402,92
0,410,0,0,0,249,8598,16282,0,734,4998,0
26,1054,0,0,0,59,3422,11024,0,982,3876,0
134,2700,0,0,0,2782,8064,5476,0,2240,3866,0
143,234,0,0,0,760,2324,2854,0,3328,2828,0
129,6998,0,169,0,1620,5946,4068,0,1838,212,0
25,3248,0,120,0,820,2828,598,0,2614,0,0
92,240,0,0,0,642,1700,1368,0,1744,0,0
603,223,0,0,0,26,300,862,0,2024,0,0
923,270,0,0,0,0,868,402,0,220,160,0
380,1610,0,0,0,0,736,674,0,888,0,0
408,1135,0,0,0,0,126,360,0,930,0,0
470,2571,0,208,0,40,316,368,0,518,0,0
419,320,0,171,0,191,0,38,0,954,0,0
2295,153,35,0,0,0,16,132,0,928,0,0
32,383,7,0,0,0,0,0,0,596,0,0
1795,533,81,752,0,0,0,0,0,532,0,0
1003,864,134,0,0,0,0,0,0,342,0,0
39,54,1169,0,0,0,66,0,0,310,0,0
116,402,728,0,0,0,0,0,0,598,0,0
65,127,412,0,0,0,84,0,0,0,0,0
0,11,268,26,0,0,140,0,0,0,0,0
47,0,136,0,0,0,0,0,0,0,0,0
178,0,260,0,0,0,0,0,0,0,0,0
0,0,23,0,0,0,0,0,0,0,0,0
0,188,311,0,0,0,0,0,0,0,0,0
0,176,99,0,0,0,0,0,0,0,0,0
277,0,149,0,0,0,0,0,0,0,0,0
0,0,106,0,0,0,0,0,0,0,0,0
